"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Rockland, ME","40500",2021,211,192,17,2,0,0,0,119,50,35,0,0,211,0,0,0
"Rocky Mount, NC","40580",2021,240,214,26,0,0,0,0,90,54,37,0,0,173,0,67,0
"Rome, GA","40660",2021,236,194,40,2,0,0,0,141,59,30,0,0,0,0,236,0
"Roseburg, OR","40700",2021,90,86,4,0,0,0,0,61,43,24,0,0,0,0,90,0
"Rutland, VT","40860",2021,182,149,33,0,0,0,0,84,58,39,1,0,125,0,56,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2021,272,106,123,26,10,5,2,448,119,60,0,0,208,0,63,1
"Salem, OH","41400",2021,272,272,0,0,0,0,0,35,16,1,0,0,0,227,0,45
"Salem, OR","41420",2021,179,154,25,0,0,0,0,92,58,33,0,0,60,0,119,0
"Salinas, CA","41500",2021,182,169,13,0,0,0,0,71,47,38,1,0,134,0,40,7
"Salisbury, MD-DE","41540",2021,151,134,17,0,0,0,0,100,52,38,0,0,131,0,20,0
"Salt Lake City, UT","41620",2021,305,132,125,39,9,0,0,177,115,54,1,21,210,0,62,11
"San Antonio-New Braunfels, TX","41700",2021,273,153,116,4,0,0,0,119,72,48,0,1,95,0,175,2
"San Diego-Carlsbad, CA","41740",2021,222,94,126,2,0,0,0,126,84,58,1,0,109,0,112,0
"San Francisco-Oakland-Hayward, CA","41860",2021,274,156,110,7,1,0,0,151,69,47,1,1,134,0,138,0
"San Jose-Sunnyvale-Santa Clara, CA","41940",2021,274,164,104,5,0,1,0,218,67,47,1,0,159,0,113,1
"San Juan-Carolina-Caguas, PR","41980",2021,274,180,88,6,0,0,0,140,71,31,50,2,3,6,169,44
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020",2021,243,131,109,3,0,0,0,115,74,50,0,0,166,0,60,17
"Sandpoint, ID","41760",2021,181,168,13,0,0,0,0,69,47,27,0,0,0,0,144,37
"Santa Cruz-Watsonville, CA","42100",2021,181,169,12,0,0,0,0,73,46,35,0,0,138,0,43,0
"Santa Fe, NM","42140",2021,181,137,43,1,0,0,0,112,58,44,0,0,165,0,16,0
"Santa Maria-Santa Barbara, CA","42200",2021,213,182,31,0,0,0,0,74,52,41,1,0,145,0,64,3
"Santa Rosa, CA","42220",2021,274,242,32,0,0,0,0,88,52,33,2,0,173,0,95,4
"Savannah, GA","42340",2021,273,223,49,1,0,0,0,101,56,39,0,0,66,47,160,0
"Sayre, PA","42380",2021,234,191,42,1,0,0,0,116,60,39,0,0,130,0,104,0
"Scottsbluff, NE","42420",2021,273,256,17,0,0,0,0,80,43,17,0,0,0,0,273,0
"Scranton--Wilkes-Barre--Hazleton, PA","42540",2021,235,187,47,1,0,0,0,137,59,39,2,14,152,0,67,0
"Seattle-Tacoma-Bellevue, WA","42660",2021,182,125,54,1,2,0,0,177,66,44,1,3,116,0,62,0
"Sebastian-Vero Beach, FL","42680",2021,238,224,14,0,0,0,0,74,48,35,0,0,238,0,0,0
"Sebring, FL","42700",2021,180,166,14,0,0,0,0,93,49,38,0,0,180,0,0,0
"Sevierville, TN","42940",2021,272,222,50,0,0,0,0,93,58,43,0,0,272,0,0,0
