"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Butte-Silver Bow, MT","15580",2021,181,172,8,1,0,0,0,103,43,20,0,0,0,0,126,55
"Cadillac, MI","15620",2021,304,257,45,2,0,0,0,136,54,38,0,0,257,0,47,0
"Cambridge, MD","15700",2021,273,226,46,1,0,0,0,105,61,41,0,0,235,0,38,0
"Cambridge, OH","15740",2021,271,268,3,0,0,0,0,59,23,4,0,0,0,271,0,0
"Canton-Massillon, OH","15940",2021,273,164,106,3,0,0,0,127,74,46,0,0,133,0,140,0
"Cape Coral-Fort Myers, FL","15980",2021,181,160,21,0,0,0,0,97,51,40,0,0,117,0,64,0
"Carlsbad-Artesia, NM","16100",2021,269,157,93,19,0,0,0,150,93,48,0,2,267,0,0,0
"Carson City, NV","16180",2021,181,170,11,0,0,0,0,71,46,40,0,0,173,0,8,0
"Casper, WY","16220",2021,181,164,17,0,0,0,0,93,50,42,0,1,178,0,2,0
"Ca¤on City, CO","15860",2021,44,43,1,0,0,0,0,62,28,17,0,0,0,0,0,44
"Cedar City, UT","16260",2021,304,239,61,3,1,0,0,169,63,42,0,10,256,0,38,0
"Cedar Rapids, IA","16300",2021,304,190,110,4,0,0,0,123,68,45,0,0,127,2,174,1
"Centralia, WA","16500",2021,176,172,4,0,0,0,0,55,34,18,0,0,0,0,176,0
"Chambersburg-Waynesboro, PA","16540",2021,227,213,14,0,0,0,0,77,48,36,0,0,227,0,0,0
"Champaign-Urbana, IL","16580",2021,304,234,70,0,0,0,0,99,60,40,0,0,195,0,109,0
"Charleston, WV","16620",2021,274,210,64,0,0,0,0,97,62,40,1,0,157,0,116,0
"Charleston-North Charleston, SC","16700",2021,273,226,47,0,0,0,0,93,56,38,0,0,94,0,179,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2021,274,176,95,3,0,0,0,128,77,46,1,1,179,0,93,0
"Charlottesville, VA","16820",2021,207,179,28,0,0,0,0,85,55,39,0,0,108,0,99,0
"Chattanooga, TN-GA","16860",2021,239,174,64,1,0,0,0,101,64,43,0,0,111,0,128,0
"Cheyenne, WY","16940",2021,181,155,26,0,0,0,0,74,54,42,2,2,167,0,9,1
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2021,305,99,178,26,2,0,0,169,100,59,1,11,114,21,131,27
"Chico, CA","17020",2021,139,103,35,0,1,0,0,160,64,42,1,0,77,0,60,1
"Cincinnati, OH-KY-IN","17140",2021,304,143,153,8,0,0,0,140,80,52,0,6,125,4,154,15
"Claremont-Lebanon, NH-VT","17200",2021,241,227,14,0,0,0,0,93,47,36,0,0,218,0,23,0
"Clarksburg, WV","17220",2021,86,73,13,0,0,0,0,65,54,29,0,0,0,0,86,0
"Clarksville, TN-KY","17300",2021,243,199,44,0,0,0,0,87,58,41,0,0,171,0,72,0
"Clearlake, CA","17340",2021,173,172,1,0,0,0,0,51,42,34,0,0,169,0,3,1
"Cleveland, MS","17380",2021,207,172,35,0,0,0,0,90,55,40,0,0,117,0,90,0
"Cleveland-Elyria, OH","17460",2021,274,115,151,8,0,0,0,122,84,54,1,0,115,4,149,5
"Clinton, IA","17540",2021,304,174,128,2,0,0,0,112,68,47,0,0,117,1,186,0
"Coeur d'Alene, ID","17660",2021,180,176,4,0,0,0,0,56,40,18,0,0,0,0,180,0
"College Station-Bryan, TX","17780",2021,212,186,26,0,0,0,0,84,52,30,0,0,0,9,203,0
"Colorado Springs, CO","17820",2021,250,146,80,24,0,0,0,140,100,48,0,0,230,0,13,7
"Columbia, MO","17860",2021,214,202,12,0,0,0,0,77,47,38,0,0,214,0,0,0
"Columbia, SC","17900",2021,272,198,72,2,0,0,0,102,64,41,0,1,120,0,151,0
"Columbus, GA-AL","17980",2021,304,241,59,3,1,0,0,154,60,38,0,0,145,0,159,0
"Columbus, IN","18020",2021,271,215,56,0,0,0,0,93,60,40,0,0,180,0,91,0
"Columbus, OH","18140",2021,274,189,85,0,0,0,0,100,68,44,1,7,146,0,120,0
"Concord, NH","18180",2021,181,157,22,2,0,0,0,101,58,36,0,0,119,62,0,0
"Cookeville, TN","18260",2021,177,161,16,0,0,0,0,68,49,26,0,0,0,0,177,0
"Corning, NY","18500",2021,274,231,42,1,0,0,0,124,55,37,1,0,193,0,80,0
"Corpus Christi, TX","18580",2021,212,147,64,1,0,0,0,113,64,44,0,0,99,1,111,1
"Corsicana, TX","18620",2021,243,195,45,3,0,0,0,128,60,40,0,0,137,40,66,0
"Corvallis, OR","18700",2021,181,178,3,0,0,0,0,55,33,15,0,0,0,0,181,0
"Crescent City, CA","18860",2021,166,152,14,0,0,0,0,69,46,27,0,0,0,0,166,0
"Crestview-Fort Walton Beach-Destin, FL","18880",2021,181,177,4,0,0,0,0,61,46,36,0,0,177,0,0,4
"Cullowhee, NC","19000",2021,57,52,5,0,0,0,0,70,45,26,0,0,0,0,57,0
"Dallas-Fort Worth-Arlington, TX","19100",2021,244,128,96,17,2,1,0,209,90,50,1,5,152,0,86,0
"Dalton, GA","19140",2021,210,179,31,0,0,0,0,87,58,40,0,0,210,0,0,0
"Danville, VA","19260",2021,264,264,0,0,0,0,0,21,8,3,0,264,0,0,0,0
"Daphne-Fairhope-Foley, AL","19300",2021,203,190,13,0,0,0,0,61,49,37,0,0,166,0,37,0
"Davenport-Moline-Rock Island, IA-IL","19340",2021,305,169,133,3,0,0,0,112,68,49,1,0,117,0,135,52
"Dayton, OH","19380",2021,274,160,113,1,0,0,0,101,73,47,1,0,140,0,133,0
"Decatur, AL","19460",2021,243,191,52,0,0,0,0,96,61,41,0,0,87,0,156,0
"Decatur, IL","19500",2021,304,202,99,3,0,0,0,112,67,44,0,0,128,25,151,0
"Deltona-Daytona Beach-Ormond Beach, FL","19660",2021,181,152,29,0,0,0,0,77,54,42,0,0,111,0,70,0
"Deming, NM","19700",2021,181,162,17,1,0,0,1,466,51,22,0,0,0,0,0,181
"Denver-Aurora-Lakewood, CO","19740",2021,283,92,132,46,13,0,0,177,129,63,0,32,175,0,55,21
"Des Moines-West Des Moines, IA","19780",2021,304,228,75,1,0,0,0,110,61,42,0,5,160,0,138,1
"Detroit-Warren-Dearborn, MI","19820",2021,304,171,124,9,0,0,0,140,84,47,0,8,181,11,103,1
"Dickinson, ND","19860",2021,243,193,46,3,1,0,0,154,71,39,0,0,201,2,40,0
"Dodge City, KS","19980",2021,178,175,3,0,0,0,0,80,27,12,0,0,0,0,0,178
"Douglas, GA","20060",2021,70,66,4,0,0,0,0,65,43,26,0,0,0,0,70,0
"Dover, DE","20100",2021,145,117,28,0,0,0,0,100,58,39,0,0,113,0,32,0
"DuBois, PA","20180",2021,223,220,3,0,0,0,0,54,44,34,0,0,223,0,0,0
"Duluth, MN-WI","20260",2021,270,241,29,0,0,0,0,100,51,37,0,0,230,0,33,7
"Durango, CO","20420",2021,243,163,80,0,0,0,0,93,67,48,0,1,242,0,0,0
"Durham-Chapel Hill, NC","20500",2021,243,208,35,0,0,0,0,90,54,41,0,0,165,0,78,0
"Dyersburg, TN","20540",2021,173,151,22,0,0,0,0,64,52,28,0,0,0,0,173,0
"Eagle Pass, TX","20580",2021,236,188,48,0,0,0,0,87,57,32,0,0,0,0,236,0
"East Stroudsburg, PA","20700",2021,206,189,17,0,0,0,0,84,49,36,0,0,206,0,0,0
"Eau Claire, WI","20740",2021,181,130,50,1,0,0,0,110,67,41,0,0,83,0,97,1
"Effingham, IL","20820",2021,237,226,11,0,0,0,0,77,46,37,0,0,237,0,0,0
"El Centro, CA","20940",2021,304,172,121,10,0,0,1,326,81,48,0,1,85,0,119,99
"El Dorado, AR","20980",2021,85,67,18,0,0,0,0,71,55,35,0,0,0,0,85,0
"El Paso, TX","21340",2021,213,84,116,13,0,0,0,150,84,55,1,12,121,0,74,5
"Elizabethtown-Fort Knox, KY","21060",2021,181,145,36,0,0,0,0,93,60,40,0,0,103,0,78,0
"Elkhart-Goshen, IN","21140",2021,304,234,70,0,0,0,0,87,58,39,0,0,214,0,90,0
"Elko, NV","21220",2021,181,180,1,0,0,0,0,58,27,12,0,0,0,0,0,181
"Ellensburg, WA","21260",2021,181,171,10,0,0,0,0,82,42,16,0,0,0,0,181,0
"Enid, OK","21420",2021,268,265,3,0,0,0,0,66,9,0,0,0,0,268,0,0
"Erie, PA","21500",2021,208,176,32,0,0,0,0,91,54,37,3,6,132,0,61,6
"Espa¤ola, NM","21580",2021,178,129,49,0,0,0,0,93,64,46,0,0,178,0,0,0
"Eugene, OR","21660",2021,273,200,53,6,13,1,0,205,89,39,0,0,96,0,171,6
"Eureka-Arcata-Fortuna, CA","21700",2021,182,176,6,0,0,0,0,58,40,31,13,0,128,0,30,11
"Evanston, WY","21740",2021,180,179,1,0,0,0,0,56,19,6,0,0,0,0,0,180
"Evansville, IN-KY","21780",2021,274,177,94,3,0,0,0,109,72,45,1,0,141,22,110,0
"Fairbanks, AK","21820",2021,182,125,39,12,6,0,0,176,97,37,1,0,74,5,100,2
"Fairmont, WV","21900",2021,61,48,13,0,0,0,0,80,54,33,0,0,0,0,61,0
"Fallon, NV","21980",2021,179,153,26,0,0,0,0,87,54,44,0,0,179,0,0,0
"Fargo, ND-MN","22020",2021,243,166,60,8,9,0,0,192,77,42,0,3,124,2,114,0
"Farmington, NM","22140",2021,273,161,106,6,0,0,0,126,71,48,0,1,269,0,0,3
"Fayetteville, NC","22180",2021,243,197,46,0,0,0,0,93,59,39,0,0,168,0,75,0
"Fayetteville-Springdale-Rogers, AR-MO","22220",2021,273,188,84,1,0,0,0,119,63,43,0,0,151,0,122,0
"Fernley, NV","22280",2021,88,81,7,0,0,0,0,74,50,41,0,0,88,0,0,0
"Findlay, OH","22300",2021,273,273,0,0,0,0,0,47,9,0,0,0,0,273,0,0
"Flagstaff, AZ","22380",2021,273,177,96,0,0,0,0,93,67,47,0,0,273,0,0,0
"Flint, MI","22420",2021,304,254,47,3,0,0,0,119,55,39,0,0,237,0,67,0
"Florence, SC","22500",2021,228,191,37,0,0,0,0,85,54,36,0,0,123,0,105,0
"Fond du Lac, WI","22540",2021,97,77,20,0,0,0,0,90,71,42,0,0,97,0,0,0
"Fort Collins, CO","22660",2021,273,124,115,31,3,0,0,156,110,54,0,0,251,0,22,0
"Fort Madison-Keokuk, IA-IL-MO","22800",2021,75,59,16,0,0,0,0,69,58,32,0,0,0,0,75,0
"Fort Payne, AL","22840",2021,239,211,28,0,0,0,0,84,51,38,0,0,213,0,26,0
"Fort Smith, AR-OK","22900",2021,273,226,45,2,0,0,0,122,55,38,0,10,133,0,130,0
"Fort Wayne, IN","23060",2021,304,222,82,0,0,0,0,100,64,41,0,0,191,0,113,0
"Fresno, CA","23420",2021,274,93,136,39,5,1,0,278,115,58,1,2,146,0,114,11
"Gadsden, AL","23460",2021,204,178,26,0,0,0,0,77,54,38,0,0,158,0,46,0
"Gainesville, FL","23540",2021,180,168,12,0,0,0,0,84,49,37,0,0,127,0,53,0
"Gainesville, GA","23580",2021,243,194,49,0,0,0,0,81,58,35,0,0,0,0,243,0
"Gardnerville Ranchos, NV","23820",2021,181,176,5,0,0,0,0,63,33,15,0,0,0,0,181,0
"Gettysburg, PA","23900",2021,243,166,74,3,0,0,0,129,67,43,1,0,162,0,80,0
"Gillette, WY","23940",2021,266,186,74,6,0,0,0,143,70,39,0,0,105,0,85,76
"Glenwood Springs, CO","24060",2021,191,128,62,1,0,0,0,101,71,47,0,0,180,0,1,10
"Grand Island, NE","24260",2021,300,257,41,2,0,0,0,134,54,27,0,0,0,0,300,0
"Grand Junction, CO","24300",2021,214,203,11,0,0,0,0,67,46,28,0,0,67,0,95,52
"Grand Rapids-Wyoming, MI","24340",2021,304,220,79,5,0,0,0,143,70,41,0,6,236,0,62,0
"Grants Pass, OR","24420",2021,181,154,26,1,0,0,0,102,56,23,0,0,0,0,181,0
"Great Falls, MT","24500",2021,181,175,6,0,0,0,0,63,29,18,0,0,0,0,181,0
"Greeley, CO","24540",2021,257,127,98,31,1,0,0,154,105,51,0,1,202,0,54,0
"Green Bay, WI","24580",2021,181,129,49,3,0,0,0,113,71,40,0,0,94,0,87,0
"Greenfield Town, MA","24640",2021,243,203,40,0,0,0,0,98,54,37,0,0,137,0,106,0
"Greensboro-High Point, NC","24660",2021,243,191,52,0,0,0,0,100,61,42,0,0,175,0,65,3
"Greenville, NC","24780",2021,238,217,21,0,0,0,0,80,50,36,0,0,165,0,73,0
"Greenville-Anderson-Mauldin, SC","24860",2021,273,189,83,1,0,0,0,101,68,44,0,3,133,0,137,0
"Guayama, PR","25020",2021,34,34,0,0,0,0,0,41,22,4,0,0,0,28,6,0
"Gulfport-Biloxi-Pascagoula, MS","25060",2021,212,170,42,0,0,0,0,85,55,41,0,0,104,0,108,0
"Hagerstown-Martinsburg, MD-WV","25180",2021,302,227,74,1,0,0,0,115,64,41,0,0,207,0,95,0
"Hailey, ID","25200",2021,166,166,0,0,0,0,0,43,23,14,0,0,0,0,166,0
"Hammond, LA","25220",2021,56,53,3,0,0,0,0,59,43,27,0,0,0,0,56,0
"Hanford-Corcoran, CA","25260",2021,304,110,171,20,2,0,1,666,97,56,0,0,120,0,63,121
"Harrisburg-Carlisle, PA","25420",2021,243,162,79,2,0,0,0,127,70,43,0,0,103,0,140,0
"Harrison, AR","25460",2021,273,261,12,0,0,0,0,74,48,37,0,0,273,0,0,0
"Harrisonburg, VA","25500",2021,211,185,26,0,0,0,0,86,51,37,0,48,113,0,50,0
"Hartford-West Hartford-East Hartford, CT","25540",2021,182,144,30,7,1,0,0,151,66,40,1,12,134,0,35,0
"Hattiesburg, MS","25620",2021,212,180,32,0,0,0,0,92,53,37,0,0,0,0,212,0
"Helena, MT","25740",2021,182,163,19,0,0,0,0,67,51,43,1,0,153,0,28,0
"Hermiston-Pendleton, OR","25840",2021,181,157,24,0,0,0,0,77,53,31,0,0,60,0,121,0
"Hickory-Lenoir-Morganton, NC","25860",2021,243,193,50,0,0,0,0,80,58,42,0,0,156,0,87,0
"Hilo, HI","25900",2021,273,212,42,17,2,0,0,178,84,19,0,0,0,141,132,0
"Hobbs, NM","26020",2021,181,132,49,0,0,0,0,99,62,44,0,2,142,0,37,0
"Holland, MI","26090",2021,300,232,58,10,0,0,0,136,71,39,0,0,230,0,70,0
"Homosassa Springs, FL","26140",2021,180,165,15,0,0,0,0,75,48,33,0,0,0,5,175,0
"Hot Springs, AR","26300",2021,90,74,16,0,0,0,0,77,55,34,0,0,0,0,90,0
"Houma-Thibodaux, LA","26380",2021,287,226,61,0,0,0,0,84,54,39,0,0,116,0,171,0
"Houston-The Woodlands-Sugar Land, TX","26420",2021,273,114,145,8,6,0,0,179,84,53,0,2,94,0,175,2
"Huntington-Ashland, WV-KY-OH","26580",2021,273,199,74,0,0,0,0,99,63,42,0,0,131,0,142,0
"Huntsville, AL","26620",2021,173,139,33,1,0,0,0,101,56,42,0,0,79,0,81,13
"Idaho Falls, ID","26820",2021,273,203,69,1,0,0,0,101,71,44,0,0,260,0,13,0
"Indiana, PA","26860",2021,226,164,60,2,0,0,0,122,64,41,0,0,127,0,99,0
"Indianapolis-Carmel-Anderson, IN","26900",2021,304,142,158,4,0,0,0,114,81,51,0,2,124,0,178,0
"Iowa City, IA","26980",2021,303,214,87,2,0,0,0,121,63,39,0,0,0,0,303,0
"Ithaca, NY","27060",2021,238,212,25,1,0,0,0,105,54,39,0,0,238,0,0,0
"Jackson, MS","27140",2021,213,159,54,0,0,0,0,71,57,43,1,0,66,0,146,0
"Jackson, TN","27180",2021,175,150,25,0,0,0,0,80,55,27,0,0,0,0,175,0
"Jackson, WY-ID","27220",2021,304,222,72,10,0,0,0,131,74,44,0,0,237,0,39,28
"Jacksonville, FL","27260",2021,182,125,57,0,0,0,0,91,64,45,1,0,89,5,87,0
"Jamestown-Dunkirk-Fredonia, NY","27460",2021,273,230,42,1,0,0,0,105,58,39,0,0,256,2,15,0
"Janesville-Beloit, WI","27500",2021,95,74,21,0,0,0,0,100,77,43,0,0,95,0,0,0
"Jasper, IN","27540",2021,93,71,22,0,0,0,0,93,64,33,0,0,0,0,88,5
"Jefferson City, MO","27620",2021,214,198,16,0,0,0,0,80,48,40,0,0,214,0,0,0
"Johnstown, PA","27780",2021,232,153,78,1,0,0,0,130,67,44,4,0,99,0,129,0
"Joplin, MO","27900",2021,268,223,45,0,0,0,0,93,56,40,0,0,193,0,0,75
"Juneau, AK","27940",2021,175,164,11,0,0,0,0,88,38,14,0,0,0,0,170,5
"Kahului-Wailuku-Lahaina, HI","27980",2021,181,181,0,0,0,0,0,38,26,17,0,0,0,0,181,0
"Kalamazoo-Portage, MI","28020",2021,287,227,60,0,0,0,0,100,61,39,0,0,201,0,86,0
"Kalispell, MT","28060",2021,273,247,26,0,0,0,0,71,50,37,0,0,221,0,17,35
"Kansas City, MO-KS","28140",2021,274,147,117,10,0,0,0,147,77,49,1,0,117,0,136,20
"Kapaa, HI","28180",2021,181,181,0,0,0,0,0,35,24,13,0,21,0,3,157,0
"Keene, NH","28300",2021,180,153,27,0,0,0,0,90,54,38,0,0,123,0,57,0
"Kennewick-Richland, WA","28420",2021,181,156,23,2,0,0,0,148,54,37,0,0,69,0,79,33
"Killeen-Temple, TX","28660",2021,212,164,48,0,0,0,0,100,61,42,0,0,154,0,58,0
"Kingsport-Bristol-Bristol, TN-VA","28700",2021,207,147,57,3,0,0,0,111,61,42,0,0,92,44,71,0
"Kingsville, TX","28780",2021,199,125,73,1,0,0,0,109,65,41,0,0,0,0,199,0
"Kinston, NC","28820",2021,243,222,21,0,0,0,0,97,50,34,0,0,183,0,0,60
"Klamath Falls, OR","28900",2021,222,123,77,13,9,0,0,188,100,43,0,0,0,0,222,0
"Knoxville, TN","28940",2021,304,190,108,6,0,0,0,150,71,46,0,0,152,0,152,0
"Kokomo, IN","29020",2021,269,203,64,2,0,0,0,105,64,42,0,0,185,0,84,0
"La Crosse-Onalaska, WI-MN","29100",2021,181,136,45,0,0,0,0,98,61,41,0,0,83,0,98,0
"La Grande, OR","29260",2021,181,181,0,0,0,0,0,47,29,17,0,0,0,0,178,3
"Laconia, NH","29060",2021,181,168,13,0,0,0,0,84,47,35,0,0,116,0,65,0
"Lafayette, LA","29180",2021,304,253,51,0,0,0,0,87,55,38,0,0,201,0,103,0
"Lafayette-West Lafayette, IN","29200",2021,273,201,71,1,0,0,0,105,63,43,0,0,162,0,111,0
"Lake Charles, LA","29340",2021,304,209,94,0,1,0,0,156,61,44,0,0,116,1,187,0
"Lake City, FL","29380",2021,180,152,28,0,0,0,0,77,53,40,0,0,95,0,85,0
"Lake Havasu City-Kingman, AZ","29420",2021,273,271,1,0,1,0,0,156,35,20,0,0,0,0,0,273
"Lakeland-Winter Haven, FL","29460",2021,181,146,35,0,0,0,0,84,54,42,0,0,95,0,86,0
"Lancaster, PA","29540",2021,243,139,100,3,1,0,0,155,74,48,0,0,89,0,151,3
"Lansing-East Lansing, MI","29620",2021,304,242,62,0,0,0,0,100,61,39,0,3,239,0,62,0
"Laramie, WY","29660",2021,304,184,110,10,0,0,0,138,80,48,0,0,212,0,64,28
"Laredo, TX","29700",2021,243,165,78,0,0,0,0,97,67,43,0,0,99,0,141,3
"Las Cruces, NM","29740",2021,181,69,99,7,3,1,2,665,91,55,0,1,94,0,15,71
"Las Vegas-Henderson-Paradise, NV","29820",2021,213,64,130,19,0,0,0,118,99,61,1,3,162,0,39,8
"Lawrenceburg, TN","29980",2021,178,165,13,0,0,0,0,64,45,26,0,0,0,0,178,0
"Lawton, OK","30020",2021,271,198,71,2,0,0,0,124,61,43,0,0,180,0,91,0
"Lebanon, PA","30140",2021,243,181,60,2,0,0,0,117,67,41,0,0,121,0,122,0
"Lewiston, ID-WA","30300",2021,272,186,75,9,2,0,0,181,82,33,0,0,0,0,272,0
"Lewiston-Auburn, ME","30340",2021,297,276,21,0,0,0,0,94,46,31,0,0,163,0,131,3
"Lexington-Fayette, KY","30460",2021,186,144,42,0,0,0,0,100,62,42,0,1,86,0,94,5
"Lima, OH","30620",2021,273,215,58,0,0,0,0,87,60,41,0,0,185,0,88,0
"Lincoln, NE","30700",2021,201,189,12,0,0,0,0,84,48,37,0,0,176,2,23,0
"Little Rock-North Little Rock-Conway, AR","30780",2021,274,163,109,2,0,0,0,112,71,47,1,6,83,0,184,0
"Logan, UT-ID","30860",2021,304,185,111,8,0,0,0,129,84,46,0,0,220,0,69,15
"Longview, TX","30980",2021,212,177,29,6,0,0,0,107,61,36,0,2,165,45,0,0
"Longview, WA","31020",2021,181,177,4,0,0,0,0,59,32,15,0,0,0,0,181,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2021,182,28,127,18,9,0,0,195,122,64,1,9,80,0,88,4
"Louisville/Jefferson County, KY-IN","31140",2021,304,197,103,4,0,0,0,143,74,45,0,4,173,0,127,0
"Lubbock, TX","31180",2021,199,187,12,0,0,0,0,70,48,25,0,0,0,0,199,0
"Ludington, MI","31220",2021,243,206,34,3,0,0,0,115,54,38,0,0,243,0,0,0
"Lynchburg, VA","31340",2021,89,80,9,0,0,0,0,91,51,24,0,0,0,0,89,0
"Macon, GA","31420",2021,273,213,58,2,0,0,0,131,62,38,0,0,87,30,156,0
"Madera, CA","31460",2021,242,134,96,12,0,0,0,150,87,49,0,2,201,0,36,3
"Madison, WI","31540",2021,181,112,68,1,0,0,0,101,72,45,0,0,77,0,104,0
"Manchester-Nashua, NH","31700",2021,182,162,20,0,0,0,0,97,51,39,1,0,173,0,8,0
"Manitowoc, WI","31820",2021,207,174,30,3,0,0,0,119,64,39,0,0,207,0,0,0
"Marietta, OH","31930",2021,214,191,23,0,0,0,0,87,51,40,0,0,213,1,0,0
"Marshall, MN","32140",2021,180,146,34,0,0,0,0,97,62,38,0,0,107,0,73,0
"Marshall, TX","32220",2021,212,175,32,4,1,0,0,158,59,37,0,0,116,12,84,0
"Mason City, IA","32380",2021,91,89,2,0,0,0,0,56,32,19,0,0,0,0,0,91
"Mayaguez, PR","32420",2021,257,210,45,2,0,0,0,142,57,30,0,0,100,0,157,0
"McAlester, OK","32540",2021,273,176,93,4,0,0,0,117,64,45,0,0,133,0,140,0
"McAllen-Edinburg-Mission, TX","32580",2021,241,153,88,0,0,0,0,96,71,44,0,0,82,0,159,0
"Medford, OR","32780",2021,181,152,29,0,0,0,0,65,55,37,0,0,60,0,121,0
"Memphis, TN-MS-AR","32820",2021,273,185,82,6,0,0,0,150,70,44,0,2,156,0,115,0
"Merced, CA","32900",2021,164,140,20,4,0,0,0,119,63,28,0,0,0,0,136,28
"Meridian, MS","32940",2021,153,152,1,0,0,0,0,54,44,31,0,0,153,0,0,0
"Miami, OK","33060",2021,181,92,84,4,1,0,0,164,73,49,0,0,8,0,171,2
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2021,182,111,69,2,0,0,0,119,62,47,1,2,58,0,121,0
"Michigan City-La Porte, IN","33140",2021,304,238,61,5,0,0,0,143,67,39,0,0,280,0,24,0
"Middlesborough, KY","33180",2021,180,132,47,1,0,0,0,102,62,43,0,0,68,0,112,0
"Milwaukee-Waukesha-West Allis, WI","33340",2021,182,99,77,6,0,0,0,112,76,48,1,4,89,0,79,9
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",2021,182,106,73,3,0,0,0,119,77,46,1,2,97,0,74,8
"Minot, ND","33500",2021,243,193,39,8,3,0,0,167,67,38,0,1,170,0,72,0
"Missoula, MT","33540",2021,181,114,65,2,0,0,0,104,75,46,0,0,80,0,101,0
"Mobile, AL","33660",2021,243,162,81,0,0,0,0,81,58,46,0,0,48,0,195,0
"Modesto, CA","33700",2021,248,106,109,31,2,0,0,172,105,55,0,0,161,0,81,6
"Monroe, LA","33740",2021,288,275,13,0,0,0,0,87,46,34,0,0,271,0,17,0
"Monroe, MI","33780",2021,51,49,2,0,0,0,0,66,44,19,0,0,0,0,0,51
"Montgomery, AL","33860",2021,232,182,50,0,0,0,0,93,57,40,0,0,116,0,116,0
"Morehead City, NC","33980",2021,230,215,15,0,0,0,0,97,49,36,0,0,230,0,0,0
"Morgantown, WV","34060",2021,272,231,41,0,0,0,0,80,54,39,0,0,190,39,43,0
"Morristown, TN","34100",2021,117,92,25,0,0,0,0,100,64,44,0,0,117,0,0,0
"Moscow, ID","34140",2021,181,181,0,0,0,0,0,49,23,13,0,0,0,0,181,0
"Moses Lake, WA","34180",2021,181,178,3,0,0,0,0,55,31,16,0,0,0,0,181,0
"Mount Pleasant, TX","34420",2021,208,208,0,0,0,0,0,20,6,0,0,0,0,208,0,0
"Mount Vernon, IL","34500",2021,304,227,75,2,0,0,0,115,63,42,0,0,152,0,152,0
"Mount Vernon, OH","34540",2021,214,194,20,0,0,0,0,97,50,38,0,0,214,0,0,0
"Mount Vernon-Anacortes, WA","34580",2021,130,127,3,0,0,0,0,84,39,28,0,0,48,0,82,0
"Muncie, IN","34620",2021,301,260,41,0,0,0,0,97,54,38,0,0,264,0,37,0
"Muscatine, IA","34700",2021,304,238,66,0,0,0,0,88,58,35,0,0,0,0,304,0
"Muskegon, MI","34740",2021,265,209,48,8,0,0,0,129,71,40,0,0,265,0,0,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2021,210,190,20,0,0,0,0,90,50,35,0,0,160,50,0,0
"Napa, CA","34900",2021,140,127,13,0,0,0,0,77,50,38,1,0,101,0,38,0
"Naples-Immokalee-Marco Island, FL","34940",2021,180,161,19,0,0,0,0,71,51,39,0,0,91,0,89,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2021,181,113,66,2,0,0,0,133,67,46,0,10,68,0,103,0
"New Castle, IN","35220",2021,87,70,17,0,0,0,0,79,59,31,0,0,0,0,87,0
"New Castle, PA","35260",2021,217,198,19,0,0,0,0,87,50,32,0,0,217,0,0,0
"New Haven-Milford, CT","35300",2021,182,146,32,4,0,0,0,143,65,40,1,10,110,0,57,4
"New Orleans-Metairie, LA","35380",2021,305,238,63,4,0,0,0,108,59,42,1,0,149,34,120,1
"New York-Newark-Jersey City, NY-NJ-PA","35620",2021,274,160,93,19,2,0,0,154,93,48,1,34,147,0,92,0
"Niles-Benton Harbor, MI","35660",2021,250,209,38,3,0,0,0,129,67,40,0,0,250,0,0,0
"Nogales, AZ","35700",2021,269,185,83,0,1,0,0,166,62,37,0,0,0,0,181,88
"North Port-Sarasota-Bradenton, FL","35840",2021,181,153,28,0,0,0,0,93,54,41,0,0,100,0,81,0
"Norwich-New London, CT","35980",2021,179,153,23,3,0,0,0,129,57,38,0,0,108,0,71,0
"Ocala, FL","36100",2021,181,147,33,1,0,0,0,101,56,41,0,0,114,0,67,0
"Odessa, TX","36220",2021,204,183,21,0,0,0,0,89,51,27,0,0,0,0,204,0
